"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","stack"
"Cmdline:","dstat -tcmndrylpg --tcp --output /opt/stack/logs/dstat-csv.log",,,,"Date:","22 Jul 2026 15:24:32 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
22-07 15:24:32,,1220020,11419412,176592,3333032,,,,,,,1.930,1.350,0.900,2,0,,,,12,5,0,9,1
22-07 15:24:33,23.148,26.135,47.540,0,0,1208044,11431240,176624,3333112,67214.717,38288.225,0,9390.606,0,43.807,4537,2436,1.930,1.350,0.900,2,0,136.399,0,0,12,4,0,9,2
22-07 15:24:34,16.005,23.507,56.017,0.250,0,1209988,11428880,176776,3333324,121138.291,597062.800,0,1204.371,0,39.012,4756,2780,1.850,1.350,0.900,2,0,131.040,0,0,12,4,0,9,2
22-07 15:24:35,21.273,23.275,52.307,0,0,1216032,11422588,176824,3333484,73678.406,39478.083,0,684.747,0,20.022,4449,2408,1.850,1.350,0.900,1,0,140.153,0,0,12,4,0,9,2
22-07 15:24:36,21.850,23.860,51.487,0,0,1218688,11419084,176884,3334200,656894.020,60620.792,4.018,928.269,1.005,14.065,5310,2681,1.850,1.350,0.900,1,0,125.578,0,0,12,4,0,9,2
22-07 15:24:37,19.146,24.367,52.713,0.249,0,1218924,11418440,176996,3334424,66641.137,32020.647,0,1161.675,0,36.800,4303,2302,1.850,1.350,0.900,2,0,118.356,0,0,12,4,0,9,2
22-07 15:24:38,19.473,25.714,52.676,0,0,1210740,11410752,177092,3349600,205798.951,43188.551,0,1322.149,0,33.952,4483,2411,1.850,1.350,0.900,2,0,112.842,0,0,12,4,0,9,2
22-07 15:24:39,32.759,26.007,40.261,0,0,1231280,11383552,177276,3356056,311607.616,35074.524,0,1068.290,0,31.008,5473,4934,1.860,1.360,0.910,3,0,87.024,0,0,12,4,0,9,2
22-07 15:24:40,31.303,27.296,39.316,0,0,1227760,11374140,177928,3365964,55279.305,29987.616,0,1290.178,0,55.093,4184,2467,1.860,1.360,0.910,3,0,84.142,0,0,12,4,0,9,2
22-07 15:24:41,30.912,24.929,40.385,0,0,1245440,11346480,178208,3375064,46453.178,24545.346,0,1244.469,0,29.915,4660,3369,1.860,1.360,0.910,7,0,116.669,0,0,12,4,0,9,2
22-07 15:24:42,39.626,22.070,37.871,0,0,1232112,11350000,178296,3383176,58951.739,576890.174,0,160.511,0,7.022,4356,3613,1.860,1.360,0.910,2,0,43.137,0,0,12,4,0,9,2
22-07 15:24:43,37.669,25.773,34.199,0.248,0,1240624,11323192,178700,3399588,61446.983,30992.626,0,11641.689,0,69.390,4561,4429,1.860,1.360,0.910,5,0,56.503,0,0,12,4,0,9,2
22-07 15:24:44,23.889,17.602,56.831,0.251,0,1379348,11172636,179480,3533784,46355.792,24040.919,0,1919.170,0,85.498,3881,3564,1.880,1.370,0.920,4,0,24.140,0,0,13,6,0,9,2
22-07 15:24:45,33.348,18.805,45.634,0,0,1377680,11165452,179904,3540852,47064.763,25148.612,0,1372.016,0,38.112,3939,2324,1.880,1.370,0.920,2,0,67.197,0,0,13,6,0,9,2
22-07 15:24:46,37.871,13.205,46.343,0,0,1383600,11136624,180516,3561360,61764.124,34424.026,0,1474.988,0,51.824,3511,2026,1.880,1.370,0.920,2,0,24.915,0,0,13,6,0,9,2
22-07 15:24:47,36.632,15.556,45.414,0.251,0,1381900,11130288,180944,3567812,67710.821,36673.057,0,1120.033,0,41.148,3990,2264,1.880,1.370,0.920,2,0,70.253,0,0,13,6,0,9,2
22-07 15:24:48,28.925,21.694,45.382,0.997,0,1336048,11190700,181156,3552920,62070.882,34525.382,925.597,1057.256,11.969,36.904,4531,2789,1.880,1.370,0.920,2,0,103.731,0,0,13,4,0,11,0
22-07 15:24:49,33.834,12.280,47.618,4.762,0,1384568,11141356,181224,3553676,45882.413,23593.318,649.606,757.873,33.082,14.035,3160,1902,1.890,1.380,0.920,2,0,28.069,0,0,13,4,0,11,0
