"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","stack"
"Cmdline:","dstat -tcmndrylpg --tcp --output /opt/stack/logs/dstat-csv.log",,,,"Date:","03 Aug 2026 10:50:14 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
03-08 10:50:14,,1290660,11422988,144468,3295248,,,,,,,1.590,1.280,1.220,2,0,,,,12,4,0,9,2
03-08 10:50:15,21.544,23.798,52.356,0,0,1290944,11422388,144552,3295468,74504.232,41124.477,0,7427.076,0,336.683,5042,2394,1.590,1.280,1.220,3,0,124.252,0,0,12,4,0,9,2
03-08 10:50:16,17.385,25.333,53.647,0,0,1267860,11429012,144716,3311220,454306.961,588911.169,0,3409.537,0,379.500,5518,2792,1.590,1.280,1.220,2,0,121.202,0,0,12,4,0,9,2
03-08 10:50:17,29.025,25.239,44.673,0,0,1274916,11415688,144808,3317000,63389.709,34215.239,0,331.138,0,15.144,4719,2330,1.590,1.280,1.220,3,0,135.282,0,0,12,4,0,9,2
03-08 10:50:18,27.998,23.786,43.608,0.248,0,1279872,11406180,145020,3320796,61945.481,34274.524,0,693.756,0,29.732,4715,2475,1.710,1.310,1.230,3,0,118.930,0,0,12,4,0,9,2
03-08 10:50:19,28.214,26.715,42.695,0,0,1284588,11392188,145520,3328092,46503.890,24245.661,0,607.215,0,26.965,4425,2249,1.710,1.310,1.230,3,0,116.849,0,0,12,4,0,9,2
03-08 10:50:20,29.076,25.817,41.859,0,0,1273080,11400232,145616,3330996,62013.110,32786.178,0,2530.574,0,16.042,4361,2159,1.710,1.310,1.230,4,0,105.273,0,0,12,4,0,9,2
03-08 10:50:21,32.371,26.349,39.648,0.502,0,1286584,11373784,145844,3342840,46591.192,24974.372,0,9346.946,0,50.188,5285,4030,1.710,1.310,1.230,3,0,87.326,0,0,12,4,0,9,2
03-08 10:50:22,35.579,24.383,38.316,0,0,1287812,11368328,145956,3345856,47049.896,23812.566,0,453.819,0,5.971,4464,2328,1.710,1.310,1.230,2,0,73.646,0,0,12,4,0,9,2
03-08 10:50:23,28.316,25.309,43.853,0,0,1291792,11348016,146296,3360712,62789.833,31626.959,0,1030.410,0,47.110,4368,2266,1.730,1.320,1.240,2,0,99.232,0,0,12,4,0,9,2
03-08 10:50:24,35.394,27.916,35.145,0.249,0,1282152,11349588,146796,3367608,70403.122,457729.964,0,1842.481,0,78.764,5526,5480,1.730,1.320,1.240,2,0,108.674,0,0,12,4,0,9,2
03-08 10:50:25,39.136,25.840,32.864,0,0,1292912,11330884,147280,3373704,49077.260,151621.008,0,1172.066,0,30.104,5438,4450,1.730,1.320,1.240,3,0,65.226,0,0,12,4,0,9,2
03-08 10:50:26,33.008,20.505,44.010,0.250,0,1427672,11185452,147580,3507244,46427.567,24142.495,0,9682.204,0,53.012,4566,3307,1.730,1.320,1.240,2,0,14.003,0,0,13,4,0,9,2
03-08 10:50:27,29.499,20.249,47.999,0,0,1430628,11165140,148012,3522852,46643.614,26088.225,0,951.972,0,31.999,4027,2484,1.730,1.320,1.240,5,0,70.998,0,0,13,6,0,9,2
03-08 10:50:28,40.005,12.329,46.547,0,0,1434600,11155088,148304,3527876,62468.333,34581.511,0,994.340,0,34.218,3460,1987,1.750,1.330,1.240,3,0,22.141,0,0,13,6,0,9,2
03-08 10:50:29,39.870,10.964,47.096,0,0,1448088,11155916,148560,3512976,50406.351,26594.132,0,789.421,0,30.899,3441,1962,1.750,1.330,1.240,4,0,29.902,0,0,13,4,0,9,0
